step,loss,acc
3670,983.69067,0.96875
3680,2136.36328,0.89062
3690,826.71716,0.96875
3700,599.47247,0.96875
3700,1143.86755,0.93300
3710,2.83411,0.98438
3720,1895.18738,0.92188
3730,761.67285,0.95312
3740,638.80414,0.95312
3750,636.62256,0.95312
3760,1415.95752,0.95312
3770,956.85199,0.92188
3780,2739.67627,0.92188
3790,1037.36316,0.92188
3800,413.35153,0.96875
3800,919.89801,0.94300
3810,968.61572,0.95312
3820,977.74579,0.95312
3830,1278.42908,0.95312
3840,1387.67139,0.93750
3850,928.35907,0.95312
3860,1249.58423,0.93750
3870,0.00000,1.00000
3880,453.67200,0.95312
3890,1556.49951,0.89062
3900,536.75970,0.96875
3900,1001.29828,0.94320
3910,61.03198,0.98438
3920,878.06262,0.96875
3930,1219.03845,0.92188
3940,423.62579,0.96875
3950,70.57556,0.96875
3960,1690.71313,0.87500
3970,1215.92761,0.93750
3980,338.49280,0.98438
3990,235.15176,0.95312
4000,682.86719,0.95312
4000,826.20166,0.95420
4010,213.56610,0.96875
4020,347.47446,0.95312
4030,922.60712,0.95312
4040,592.77039,0.92188
4050,656.16809,0.96875
4060,843.66522,0.93750
4070,316.38181,0.96875
4080,252.01727,0.98438
4090,1436.71729,0.90625
4100,268.48376,0.98438
4100,856.48199,0.95020
4110,0.00000,1.00000
4120,883.55261,0.92188
4130,937.27899,0.96875
4140,881.63849,0.90625
4150,596.62811,0.95312
4160,1002.14630,0.92188
4170,1552.73145,0.90625
4180,102.53436,0.98438
4190,152.19916,0.98438
4200,221.19913,0.96875
4200,950.06409,0.94100
4210,1158.03027,0.92188
4220,1218.56946,0.96875
4230,894.35333,0.96875
4240,868.05658,0.93750
4250,2574.22461,0.93750
4260,3398.57275,0.92188
4270,624.97736,0.95312
4280,389.49860,0.95312
4290,839.96918,0.89062
4300,612.05695,0.96875
4300,833.38428,0.94900
4310,243.22195,0.98438
4320,556.01392,0.92188
4330,804.71777,0.93750
4340,740.70288,0.93750
4350,426.91635,0.95312
4360,834.02051,0.95312
4370,794.02118,0.95312
4380,1023.25427,0.92188
4390,1369.17261,0.92188
4400,173.39581,0.96875
4400,929.97443,0.93980
4410,429.18207,0.93750
4420,293.40771,0.95312
4430,1911.89441,0.93750
4440,1033.39941,0.90625
4450,852.59454,0.96875
4460,0.00000,1.00000
4470,0.00000,1.00000
4480,405.86938,0.93750
4490,288.40009,0.96875
4500,528.95178,0.96875
4500,743.58557,0.95060
4510,763.07593,0.92188
4520,167.36346,0.98438
4530,404.02029,0.98438
4540,1123.73267,0.93750
4550,575.63318,0.93750
4560,881.92102,0.92188
4570,409.88303,0.93750
4580,200.66779,0.98438
4590,371.74991,0.93750
4600,565.32666,0.95312
4600,655.68903,0.95720
4610,1045.62317,0.92188
4620,1449.92505,0.95312
4630,1641.97021,0.93750
4640,872.85822,0.95312
4650,651.49786,0.93750
4660,412.44348,0.95312
4670,318.75800,0.95312
4680,816.21375,0.95312
4690,175.76428,0.96875
4700,2112.89307,0.89062
4700,763.43628,0.94640
4710,111.10541,0.98438
4720,1074.47156,0.96875
4730,991.77881,0.95312
4740,1003.41541,0.96875
4750,1596.02954,0.93750
4760,3017.24365,0.85938
4770,357.14673,0.93750
4780,461.49362,0.93750
4790,774.90869,0.93750
4800,1786.72168,0.92188
4800,814.86749,0.94400
4810,599.99310,0.95312
4820,1013.18054,0.93750
4830,1954.99829,0.93750
4840,151.32129,0.96875
4850,370.20801,0.95312
4860,76.47620,0.98438
4870,590.17700,0.96875
4880,835.24396,0.92188
4890,1014.81250,0.95312
4900,1122.39026,0.90625
4900,648.01208,0.95560
4910,680.27063,0.96875
4920,1005.24438,0.90625
4930,1091.51294,0.93750
4940,125.95361,0.95312
4950,637.72272,0.93750
4960,447.54245,0.96875
4970,842.90070,0.92188
4980,320.37186,0.98438
4990,1170.54456,0.87500
5000,645.96515,0.93750
5000,634.33228,0.95260
5010,548.27551,0.96875
5020,479.21106,0.96875
5030,1621.75330,0.92188
5040,797.18292,0.92188
5050,1177.97803,0.95312
5060,505.77429,0.93750
5070,1487.76855,0.92188
5080,2406.44629,0.93750
5090,371.96088,0.96875
5100,75.37427,0.98438
5100,593.67828,0.95900
5110,419.39841,0.96875
5120,678.65759,0.95312
5130,1138.03137,0.95312
5140,804.16156,0.92188
5150,224.12567,0.96875
5160,22.41705,0.98438
5170,544.06622,0.96875
5180,808.00201,0.93750
5190,156.82422,0.96875
5200,464.38678,0.96875
5200,555.52289,0.95420
5210,645.59430,0.96875
5220,770.34686,0.93750
5230,401.19894,0.90625
5240,361.72638,0.96875
5250,2071.14941,0.89062
5260,693.48785,0.93750
5270,1594.41675,0.84375
5280,1515.80139,0.93750
5290,481.28738,0.96875
5300,582.87445,0.96875
5300,557.94727,0.96080
5310,1366.56616,0.92188
5320,366.89606,0.96875
5330,1835.03101,0.95312
5340,109.64551,0.98438
5350,1665.02344,0.90625
5360,203.64221,0.95312
5370,2139.05127,0.95312
5380,340.19327,0.98438
5390,0.00000,1.00000
5400,674.55408,0.95312
5400,622.13855,0.95480
5410,295.55057,0.95312
5420,405.80542,0.95312
5430,1046.78125,0.96875
5440,772.98993,0.92188
5450,1170.80762,0.89062
5460,122.69452,0.96875
5470,767.66431,0.98438
5480,1247.91016,0.92188
5490,172.27374,0.98438
5500,610.44055,0.96875
5500,588.48047,0.95640
5510,464.41394,0.98438
5520,1333.78040,0.92188
5530,173.88373,0.95312
5540,0.00000,1.00000
5550,1370.15308,0.93750
5560,134.64795,0.98438
5570,110.11096,0.98438
5580,355.49005,0.98438
5590,2123.35840,0.87500
5600,1189.66003,0.90625
5600,507.49329,0.96320
5610,243.08099,0.98438
5620,355.09152,0.96875
5630,1363.94336,0.93750
5640,138.14874,0.96875
5650,486.00461,0.98438
5660,401.63379,0.96875
5670,536.52899,0.96875
5680,537.19177,0.93750
5690,498.45151,0.90625
5700,764.13129,0.95312
5700,538.73688,0.96000
5710,685.31238,0.95312
5720,192.88568,0.98438
5730,1488.80176,0.93750
5740,1456.78955,0.92188
5750,236.76611,0.96875
5760,208.09222,0.93750
5770,236.51224,0.95312
5780,450.78006,0.93750
5790,409.40952,0.92188
5800,217.16589,0.96875
5800,474.14789,0.96060
5810,56.23862,0.98438
5820,155.84024,0.95312
5830,63.01215,0.98438
5840,219.67618,0.96875
5850,354.55664,0.95312
5860,378.01898,0.95312
5870,1645.16870,0.89062
5880,51.55774,0.96875
5890,1128.21387,0.93750
5900,319.59796,0.98438
5900,527.70557,0.95480
5910,143.48383,0.96875
5920,797.94739,0.92188
5930,0.00000,1.00000
5940,321.71582,0.96875
5950,60.65125,0.98438
5960,745.69678,0.95312
5970,614.30017,0.93750
5980,1310.41565,0.95312
5990,463.86606,0.93750
6000,1461.35352,0.90625
6000,577.77063,0.95020
6010,715.98145,0.95312
6020,540.24255,0.93750
6030,160.24713,0.96875
6040,634.23090,0.93750
6050,215.31403,0.96875
6060,113.25311,0.98438
6070,384.91888,0.93750
6080,467.98468,0.93750
6090,355.85510,0.95312
6100,33.19623,0.98438
6100,542.71472,0.95560
6110,1158.19092,0.89062
6120,325.98044,0.95312
6130,0.00000,1.00000
6140,416.34839,0.89062
6150,567.07855,0.92188
6160,626.02612,0.92188
6170,228.25549,0.95312
6180,0.00000,1.00000
6190,134.89557,0.98438
6200,587.60352,0.93750
6200,484.13330,0.95920
6210,473.73407,0.96875
6220,0.00000,1.00000
6230,593.42761,0.93750
6240,1841.69580,0.98438
6250,550.72272,0.95312
6260,125.17108,0.98438
6270,416.43445,0.95312
6280,77.45404,0.96875
6290,981.64087,0.92188
6300,71.95062,0.96875
6300,417.15329,0.96440
6310,817.46790,0.95312
6320,307.41965,0.95312
6330,94.18021,0.98438
6340,610.71594,0.96875
6350,460.46426,0.96875
6360,2.06073,0.98438
6370,298.86377,0.96875
6380,1085.63672,0.96875
6390,156.37009,0.95312
6400,0.00000,1.00000
6400,387.43680,0.96340
6410,840.74896,0.93750
6420,278.28186,0.96875
6430,190.56995,0.95312
6440,718.88202,0.92188
6450,28.92331,0.96875
6460,281.17929,0.95312
6470,195.46823,0.98438
6480,541.72168,0.98438
6490,402.12234,0.95312
6500,1091.08923,0.95312
6500,384.42172,0.96460
6510,343.25070,0.96875
6520,1141.95264,0.89062
6530,86.10657,0.96875
6540,608.25031,0.95312
6550,441.55368,0.98438
6560,758.72913,0.92188
6570,474.60428,0.95312
6580,535.46301,0.95312
6590,13.58600,0.98438
6600,22.87939,0.96875
6600,405.15842,0.96040
6610,283.64362,0.95312
6620,0.00000,1.00000
6630,520.92963,0.95312
6640,390.88788,0.95312
6650,8.24054,0.98438
6660,662.58002,0.96875
6670,62.08221,0.98438
6680,439.56320,0.96875
6690,401.55591,0.93750
6700,97.85080,0.98438
6700,389.00415,0.96440
6710,797.06268,0.95312
6720,135.26379,0.93750
6730,442.82864,0.96875
6740,364.02948,0.93750
6750,1115.48169,0.92188
6760,90.05350,0.96875
6770,700.72058,0.95312
6780,259.68567,0.98438
6790,833.96228,0.92188
6800,901.61938,0.95312
6800,380.76761,0.96400
6810,348.19257,0.96875
6820,187.38531,0.96875
6830,734.90948,0.93750
6840,205.91199,0.96875
6850,574.49512,0.93750
6860,34.32861,0.98438
6870,432.96268,0.96875
6880,530.58990,0.92188
6890,444.42755,0.93750
6900,331.42337,0.98438
6900,306.63574,0.96940
6910,564.09082,0.95312
6920,50.19061,0.98438
6930,314.52884,0.93750
6940,0.00000,1.00000
6950,599.74084,0.96875
6960,185.80627,0.96875
6970,607.69922,0.96875
6980,430.99783,0.90625
6990,503.15088,0.96875
7000,1187.49780,0.90625
7000,425.05011,0.96200
7010,0.00000,1.00000
7020,698.06482,0.95312
7030,609.83765,0.96875
7040,417.42844,0.95312
7050,246.38281,0.98438
7060,400.63214,0.92188
7070,56.35199,0.98438
7080,228.50385,0.96875
7090,317.48419,0.98438
7100,635.70984,0.96875
7100,534.30841,0.95360
7110,597.72162,0.93750
7120,751.30286,0.95312
7130,741.83588,0.95312
7140,224.52002,0.98438
7150,618.80518,0.96875
7160,528.14160,0.96875
7170,529.67480,0.93750
7180,91.12030,0.96875
7190,1075.46851,0.90625
7200,612.20605,0.95312
7200,523.84564,0.94680
7210,829.47064,0.92188
7220,429.47333,0.95312
7230,13.39484,0.98438
7240,136.94745,0.96875
7250,63.76080,0.98438
7260,856.08643,0.95312
7270,16.47342,0.98438
7280,465.74081,0.96875
7290,267.42700,0.96875
7300,829.17981,0.92188
7300,415.04770,0.95720
7310,89.09863,0.98438
7320,322.07129,0.92188
7330,176.04825,0.95312
7340,277.35263,0.95312
7350,204.91751,0.98438
7360,503.66852,0.90625
7370,82.45905,0.96875
7380,533.51465,0.92188
7390,392.25464,0.95312
7400,181.73547,0.98438
7400,348.52945,0.96740
7410,988.27661,0.93750
7420,161.29803,0.93750
7430,422.04214,0.93750
7440,184.95282,0.96875
7450,164.56274,0.96875
7460,182.73596,0.96875
7470,410.30246,0.96875
7480,0.00000,1.00000
7490,296.16711,0.93750
7500,0.00000,1.00000
7500,310.15591,0.96800
7510,1222.08826,0.90625
7520,256.95047,0.98438
7530,1439.21558,0.89062
7540,30.51135,0.96875
7550,350.40543,0.93750
7560,245.13458,0.96875
7570,914.17993,0.95312
7580,562.44409,0.98438
7590,779.79407,0.89062
7600,178.79414,0.98438
7600,287.89096,0.96680
7610,365.17410,0.96875
7620,148.51727,0.95312
7630,107.68945,0.95312
7640,631.90668,0.90625
7650,451.71973,0.96875
7660,160.54196,0.96875
7670,121.65057,0.96875
7680,26.93793,0.98438
7690,679.83130,0.92188
7700,386.52057,0.96875
7700,334.73431,0.96520
7710,190.40427,0.93750
7720,246.92395,0.96875
7730,433.62976,0.96875
7740,0.00000,1.00000
7750,235.93576,0.96875
7760,324.21970,0.96875
7770,575.40662,0.96875
7780,356.95892,0.93750
7790,389.41589,0.96875
7800,71.40115,0.98438
7800,304.65735,0.96860
